id;placed_date;status;code;invoice_id;customer
1;2022-01-10T09:41:27;COMPLETED;Electronics;57858;calculate
2;2022-01-10T08:25:17;CANCELLED;one-to-one Corporate;74608;Steel
3;2022-01-09T23:52:44;CANCELLED;cross-platform Health;12251;real-time
4;2022-01-10T02:39:29;CANCELLED;Hat;10576;Square revolutionize
5;2022-01-10T09:42:58;CANCELLED;implement Implementation;23738;Bike
6;2022-01-10T00:54:19;CANCELLED;Industrial Checking Right-sized;52549;models
7;2022-01-10T01:06:27;PENDING;Implemented;30578;Home
8;2022-01-10T05:05:28;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2022-01-10T09:53:14;COMPLETED;National Program;95175;neural hacking
10;2022-01-10T09:46:14;COMPLETED;hack Shirt Walks;57700;full-range back
